10,10,10,1,1,1,2,2,2,5,5,5
19400000,24950000,,,,,,,,,,
,,2306000,,,,,,,,,
,72510000,,,,,,,,,,
233300000,252000000,1653000000,,115500000,64790000,327800000,185400000,49040000,302900000,132700000,150700000
,,0,,,,,,,,,
,,,,,,,,,,,24310000
,0,,,,,,,,,,
0,,,,,,,,,1583000,,0
0,,7580000,,,,,,,,,
14890000,,13850000,,,,,,,,,
0,,,,,,,,,,,
,,103100000,,,,,,,,,
0,6982000,24060000,,,,,,,,7841000,13410000
9501000,10960000,9521000,,,,1331000,,,4058000,,7030000
254400000,196500000,176800000,,,,,,,,,120000000
,,,,,,,,,,0,
0,,,,,,,,,,,
77650000,,,,,,,,,,,
,9058000,,,,,,,,,,
65270000,,55440000,,,,,,12410000,,36200000,
5342000,,,,,,,,,2885000,,3293000
,,12940000,,,,,,,,,
3081000,,,,,,,,,,,
,,14130000,,,,,2563000,3897000,,5908000,3674000
,263500000,156700000,,,,,,,,,
40640000,,,,,,,,,,,16290000
,,,,,,,,,1389000,1137000,
,,,,,,,301400,,,,
,,181900000,,,,,,,,,6234000
,72870000,,,,,,,2628000,30990000,,
,,13470000,,,,,,,,,
,,16970000,,,,,,,,,
0,5736000,,,,,,241100,,,2417000,
,,,,,,,,,,3985000,
,2363000,,,,,,,,,,
7894000,9758000,10870000,,,,,,,,,
,57070000,,,,,,,,,,
,,33540000,,,,,,,,,
10800000,28110000,,,,,,,,,,
47310000,,,,,,,,,,,
,,10480000,,,,,,,0,,
,4063000,16490000,,,,,,,,,
21280000,,940800000,,,,,,,,,
,,,,,,,182500,,,,
,,12860000,,,,,,,,,
,108600000,,,,,,,,,,
,3687000,,,,,,,,,,
,,,,,,,,,,5905000,
20190000,15870000,,,,,,,,11630000,10210000,
23020000,,,,,,,,,,,
7389000,60070000,24940000,,,,,,,,13780000,
,0,,,,,,,,,,
,,32850000,,,,,,,,,
19690000,7712000,15270000,,,,,,,2796000,,17340000
23820000,,,,,,,,,,,
,,,,,,,,1188000,,,
