1604	0 2 1 1 	10.000	-79.956	0.000	163.405	
1607	0 2 2 1 	10.000	-79.964	0.000	199.336	
1610	0 2 3 1 	10.000	-79.390	1.468	210.867	
1613	0 2 4 1 	10.000	-79.379	1.468	206.795	
1616	0 2 5 1 	10.000	-79.393	1.468	211.927	
1619	0 2 6 1 	10.000	-79.207	1.456	163.182	
1622	0 2 7 1 	10.000	-79.621	0.845	204.692	
1625	0 2 8 1 	10.000	-79.623	0.845	204.938	
1628	0 2 9 1 	10.000	-79.965	0.000	201.962	
1631	0 2 10 1 	10.000	-76.601	10.143	229.280	
1634	0 2 11 1 	10.000	-79.967	0.000	216.019	
1637	0 2 12 1 	10.000	-78.506	4.060	224.336	
1640	0 2 13 1 	10.000	-77.349	6.933	211.114	
1643	0 2 14 1 	10.000	-78.258	4.060	193.160	
1646	0 2 15 1 	10.000	-79.960	0.000	177.362	
1649	0 2 16 1 	10.000	-77.937	5.249	207.763	
1652	0 2 17 1 	10.000	-79.961	0.000	181.184	
1655	0 2 18 1 	10.000	-79.958	0.000	169.374	
1658	0 2 19 1 	10.000	-74.002	14.348	183.209	
1661	0 2 20 1 	10.000	-79.960	0.000	177.017	
1664	0 2 21 1 	10.000	-79.949	0.000	138.443	
1667	0 2 22 1 	10.000	-77.937	3.084	127.826	
1670	0 2 23 1 	10.000	-79.941	0.000	122.384	
1673	0 2 24 1 	10.000	-79.945	0.000	130.183	
1676	0 2 25 1 	10.000	-79.952	0.000	146.701	
1679	0 2 26 1 	10.000	-79.949	0.000	139.269	
1682	0 2 27 1 	10.000	-75.880	5.184	106.351	
1685	0 2 28 1 	10.000	-79.947	0.000	134.845	
1688	0 2 29 1 	10.000	-76.931	5.249	141.099	
1691	0 2 30 1 	10.000	-77.210	5.249	154.867	
1694	0 2 31 1 	10.000	-79.961	0.000	183.777	
1697	0 2 32 1 	10.000	-79.961	0.000	180.857	
1700	0 2 33 1 	10.000	-78.312	4.451	169.158	
1703	0 2 34 1 	10.000	-78.678	4.564	240.560	
1706	0 2 35 1 	10.000	-77.761	7.535	247.619	
1709	0 2 36 1 	10.000	-79.947	0.036	190.780	
1712	0 2 37 1 	10.000	-79.054	2.204	199.637	
1715	0 2 38 1 	10.000	-79.961	0.000	179.972	
1718	0 2 39 1 	10.000	-79.968	0.000	220.121	
1721	0 2 40 1 	10.000	-76.329	8.088	175.650	
1724	0 2 41 1 	10.000	-79.953	0.000	152.625	
1727	0 2 42 1 	10.000	-79.959	0.000	172.571	
1730	0 2 43 1 	10.000	-79.865	0.289	231.271	
