Mass [m/z],Polarity,Start [min],End [min],nCE,CS [z],Comment
553.958801,Positive,30.088104,35.088104, ,3,MH+1659.861851-Scan#5647
592.819092,Positive,30.102046,35.102046, ,2,MH+1184.630907-Scan#5654
553.958557,Positive,30.123752,35.123752, ,3,MH+1659.861118-Scan#5664
706.873962,Positive,30.139420,35.139420, ,2,MH+1412.740648-Scan#5669
704.839233,Positive,30.252093,35.252093, ,2,MH+1408.671190-Scan#5709
467.947723,Positive,30.474958,35.474958, ,4,MH+1868.769064-Scan#5786
427.696655,Positive,30.503640,35.503640, ,4,MH+1707.764791-Scan#5800
606.294495,Positive,30.653975,35.653975, ,2,MH+1211.581713-Scan#5859
519.251892,Positive,30.695141,35.695141, ,3,MH+1555.741123-Scan#5878
707.851624,Positive,30.707616,35.707616, ,2,MH+1414.695970-Scan#5884
675.308655,Positive,30.739463,35.739463, ,2,MH+1349.610033-Scan#5899
544.273560,Positive,30.781280,35.781280, ,2,MH+1087.539843-Scan#5919
427.236908,Positive,30.785822,35.785822, ,4,MH+1705.925802-Scan#5922
613.332520,Positive,30.803093,35.803093, ,2,MH+1225.657762-Scan#5929
623.806091,Positive,30.832532,35.832532, ,2,MH+1246.604906-Scan#5944
465.918274,Positive,30.841730,35.841730, ,3,MH+1395.740269-Scan#5950
499.257843,Positive,30.844780,35.844780, ,2,MH+997.508409-Scan#5952
628.810303,Positive,30.852599,35.852599, ,2,MH+1256.613329-Scan#5955
645.298340,Positive,30.854140,35.854140, ,2,MH+1289.589403-Scan#5956
664.329590,Positive,30.878871,35.878871, ,2,MH+1327.651903-Scan#5968
437.230591,Positive,30.904136,35.904136, ,3,MH+1309.677219-Scan#5977
579.597961,Positive,30.924303,35.924303, ,3,MH+1736.779331-Scan#5986
458.582275,Positive,30.930410,35.930410, ,3,MH+1373.732273-Scan#5990
444.575531,Positive,31.001868,36.001868, ,3,MH+1331.712040-Scan#6023
518.576660,Positive,31.004948,36.004948, ,3,MH+1553.715427-Scan#6025
670.828552,Positive,31.009525,36.009525, ,2,MH+1340.649828-Scan#6028
447.554230,Positive,31.023400,36.023400, ,3,MH+1340.648136-Scan#6035
569.282837,Positive,31.041616,36.041616, ,2,MH+1137.558397-Scan#6045
666.359436,Positive,31.044666,36.044666, ,2,MH+1331.711595-Scan#6047
470.901886,Positive,31.061693,36.061693, ,3,MH+1410.691105-Scan#6056
551.816467,Positive,31.086435,36.086435, ,2,MH+1102.625658-Scan#6068
606.312378,Positive,31.129551,36.129551, ,2,MH+1211.617479-Scan#6087
589.262512,Positive,31.148280,36.148280, ,3,MH+1765.772983-Scan#6096
454.569580,Positive,31.199680,36.199680, ,3,MH+1361.694187-Scan#6119
435.903290,Positive,31.218103,36.218103, ,3,MH+1305.695316-Scan#6128
421.896057,Positive,31.267566,36.267566, ,3,MH+1263.673618-Scan#6148
549.942322,Positive,31.282898,36.282898, ,3,MH+1647.812412-Scan#6155
528.280334,Positive,31.299895,36.299895, ,2,MH+1055.553392-Scan#6161
453.238861,Positive,31.312349,36.312349, ,3,MH+1357.702030-Scan#6167
412.709167,Positive,31.313857,36.313857, ,4,MH+1647.814840-Scan#6168
577.814270,Positive,31.372309,36.372309, ,2,MH+1154.621263-Scan#6191
409.229340,Positive,31.373817,36.373817, ,3,MH+1225.673466-Scan#6192
469.577942,Positive,31.383190,36.383190, ,3,MH+1406.719272-Scan#6196
425.962433,Positive,31.431650,36.431650, ,4,MH+1700.827902-Scan#6218
566.775574,Positive,31.465692,36.465692, ,2,MH+1132.543871-Scan#6233
511.264923,Positive,31.468743,36.468743, ,3,MH+1531.780216-Scan#6235
425.544159,Positive,31.471783,36.471783, ,3,MH+1274.617924-Scan#6237
632.807251,Positive,31.519975,36.519975, ,2,MH+1264.607225-Scan#6261
420.547333,Positive,31.524533,36.524533, ,3,MH+1259.627445-Scan#6264
457.236969,Positive,31.526058,36.526058, ,3,MH+1369.696354-Scan#6265
630.317505,Positive,31.527602,36.527602, ,2,MH+1259.627733-Scan#6266
538.762329,Positive,31.541911,36.541911, ,2,MH+1076.517382-Scan#6271
495.592133,Positive,31.543437,36.543437, ,3,MH+1484.761844-Scan#6272
560.811462,Positive,31.559250,36.559250, ,2,MH+1120.615648-Scan#6278
676.330811,Positive,31.584010,36.584010, ,2,MH+1351.654344-Scan#6292
466.566132,Positive,31.613603,36.613603, ,3,MH+1397.683842-Scan#6307
410.850616,Positive,31.633753,36.633753, ,3,MH+1230.537296-Scan#6318
699.345581,Positive,31.641953,36.641953, ,2,MH+1397.683885-Scan#6321
409.887695,Positive,31.699370,36.699370, ,3,MH+1227.648533-Scan#6352
531.256104,Positive,31.716480,36.716480, ,2,MH+1061.504930-Scan#6361
577.299255,Positive,31.725905,36.725905, ,2,MH+1153.591234-Scan#6365
493.605560,Positive,31.736846,36.736846, ,3,MH+1478.802128-Scan#6370
467.565369,Positive,31.739909,36.739909, ,3,MH+1400.681553-Scan#6372
575.282959,Positive,31.869550,36.869550, ,2,MH+1149.558641-Scan#6435
498.287323,Positive,31.871075,36.871075, ,2,MH+995.567369-Scan#6436
