Mass [m/z],Polarity,Start [min],End [min],nCE,CS [z],Comment
447.723114,Positive,39.075070,44.075070, ,2,MH+894.438951-Scan#10020
570.803467,Positive,39.098526,44.098526, ,2,MH+1140.599657-Scan#10031
469.226959,Positive,39.109030,44.109030, ,2,MH+937.446642-Scan#10036
633.837341,Positive,39.113655,44.113655, ,2,MH+1266.667406-Scan#10039
575.843323,Positive,39.115180,44.115180, ,2,MH+1150.679369-Scan#10040
543.300293,Positive,39.118232,44.118232, ,2,MH+1085.593309-Scan#10042
507.774719,Positive,39.121015,44.121015, ,2,MH+1014.542162-Scan#10044
548.323608,Positive,39.138293,44.138293, ,2,MH+1095.639940-Scan#10051
592.286316,Positive,39.158376,44.158376, ,2,MH+1183.565355-Scan#10062
467.763000,Positive,39.161280,44.161280, ,2,MH+934.518724-Scan#10064
418.762329,Positive,39.162573,44.162573, ,2,MH+836.517382-Scan#10065
440.733704,Positive,39.183694,44.183694, ,2,MH+880.460131-Scan#10075
416.236053,Positive,39.184953,44.184953, ,2,MH+831.464830-Scan#10076
530.270813,Positive,39.188003,44.188003, ,2,MH+1059.534349-Scan#10078
618.765320,Positive,39.205153,44.205153, ,2,MH+1236.523363-Scan#10087
601.315613,Positive,39.217659,44.217659, ,2,MH+1201.623949-Scan#10093
432.735382,Positive,39.224852,44.224852, ,2,MH+864.463488-Scan#10098
586.834656,Positive,39.272394,44.272394, ,2,MH+1172.662035-Scan#10123
410.723022,Positive,39.275177,44.275177, ,2,MH+820.438768-Scan#10125
656.336914,Positive,39.293762,44.293762, ,2,MH+1311.666551-Scan#10133
484.738800,Positive,39.306217,44.306217, ,2,MH+968.470323-Scan#10139
493.936035,Positive,39.307744,44.307744, ,3,MH+1479.793552-Scan#10140
520.255615,Positive,39.327885,44.327885, ,2,MH+1039.503954-Scan#10151
474.277710,Positive,39.334240,44.334240, ,2,MH+947.548143-Scan#10153
472.255585,Positive,39.335765,44.335765, ,2,MH+943.503893-Scan#10154
616.341187,Positive,39.340373,44.340373, ,2,MH+1231.675096-Scan#10157
422.241272,Positive,39.343158,44.343158, ,2,MH+843.475267-Scan#10159
609.777771,Positive,39.352546,44.352546, ,2,MH+1218.548265-Scan#10163
740.399780,Positive,39.357173,44.357173, ,2,MH+1479.792284-Scan#10166
479.247253,Positive,39.359956,44.359956, ,2,MH+957.487230-Scan#10168
543.974121,Positive,39.375427,44.375427, ,3,MH+1629.907810-Scan#10176
671.341309,Positive,39.387900,44.387900, ,2,MH+1341.675341-Scan#10182
566.781006,Positive,39.414118,44.414118, ,2,MH+1132.554735-Scan#10195
483.917725,Positive,39.416904,44.416904, ,3,MH+1449.738621-Scan#10197
501.780029,Positive,39.434129,44.434129, ,2,MH+1002.552782-Scan#10205
407.248779,Positive,39.435387,44.435387, ,2,MH+813.490282-Scan#10206
660.322144,Positive,39.439997,44.439997, ,2,MH+1319.637010-Scan#10209
599.277100,Positive,39.450954,44.450954, ,2,MH+1197.546923-Scan#10214
534.281555,Positive,39.454020,44.454020, ,2,MH+1067.555834-Scan#10216
784.875366,Positive,39.477093,44.477093, ,2,MH+1568.743456-Scan#10227
498.951111,Positive,39.503055,44.503055, ,3,MH+1494.838779-Scan#10240
523.585144,Positive,39.508910,44.508910, ,3,MH+1568.740879-Scan#10244
704.854553,Positive,39.524128,44.524128, ,2,MH+1408.701830-Scan#10252
542.813110,Positive,39.539374,44.539374, ,2,MH+1084.618944-Scan#10260
994.811584,Positive,39.564030,44.564030, ,3,MH+2982.420200-Scan#10272
454.790161,Positive,39.567101,44.567101, ,2,MH+908.573046-Scan#10274
439.744080,Positive,39.577949,44.577949, ,2,MH+878.480883-Scan#10279
994.809021,Positive,39.610582,44.610582, ,3,MH+2982.412510-Scan#10296
435.759277,Positive,39.622893,44.622893, ,2,MH+870.511278-Scan#10299
483.775391,Positive,39.630586,44.630586, ,2,MH+966.543505-Scan#10304
480.246979,Positive,39.636911,44.636911, ,2,MH+959.486681-Scan#10306
471.283264,Positive,39.644751,44.644751, ,2,MH+941.559252-Scan#10311
489.895355,Positive,39.660353,44.660353, ,3,MH+1467.671512-Scan#10319
442.754944,Positive,39.664676,44.664676, ,2,MH+884.502611-Scan#10322
417.250641,Positive,39.665934,44.665934, ,2,MH+833.494005-Scan#10323
411.214569,Positive,39.667192,44.667192, ,2,MH+821.421862-Scan#10324
508.314697,Positive,39.679820,44.679820, ,2,MH+1015.622118-Scan#10328
591.773743,Positive,39.681344,44.681344, ,2,MH+1182.540209-Scan#10329
510.258636,Positive,39.682886,44.682886, ,3,MH+1528.761356-Scan#10330
552.279541,Positive,39.685957,44.685957, ,2,MH+1103.551805-Scan#10332
580.303589,Positive,39.705554,44.705554, ,2,MH+1159.599901-Scan#10343
574.792542,Positive,39.717990,44.717990, ,2,MH+1148.577806-Scan#10349
556.776489,Positive,39.722582,44.722582, ,2,MH+1112.545702-Scan#10352
700.355164,Positive,39.750685,44.750685, ,2,MH+1399.703051-Scan#10369
637.663391,Positive,39.763338,44.763338, ,3,MH+1910.975620-Scan#10373
489.733917,Positive,39.766423,44.766423, ,2,MH+978.460558-Scan#10375
811.911072,Positive,39.767981,44.767981, ,2,MH+1622.814867-Scan#10376
589.321106,Positive,39.772346,44.772346, ,3,MH+1765.948765-Scan#10379
478.499207,Positive,39.775177,44.775177, ,4,MH+1910.974996-Scan#10381
474.957123,Positive,39.776685,44.776685, ,4,MH+1896.806661-Scan#10382
466.929535,Positive,39.783005,44.783005, ,3,MH+1398.774051-Scan#10384
494.760284,Positive,39.785787,44.785787, ,2,MH+988.513292-Scan#10386
576.311584,Positive,39.810755,44.810755, ,2,MH+1151.615892-Scan#10398
565.810974,Positive,39.818092,44.818092, ,2,MH+1130.614672-Scan#10403
457.772491,Positive,39.819350,44.819350, ,2,MH+914.537706-Scan#10404
450.267151,Positive,39.820606,44.820606, ,2,MH+899.527025-Scan#10405
539.283936,Positive,39.832812,44.832812, ,2,MH+1077.560594-Scan#10411
519.781189,Positive,39.834070,44.834070, ,2,MH+1038.555101-Scan#10412
808.897095,Positive,39.839979,44.839979, ,2,MH+1616.786913-Scan#10416
536.808105,Positive,39.846269,44.846269, ,2,MH+1072.608934-Scan#10418
685.356262,Positive,39.877516,44.877516, ,2,MH+1369.705248-Scan#10433
587.313171,Positive,39.904162,44.904162, ,2,MH+1173.619066-Scan#10446
563.303955,Positive,39.906951,44.906951, ,2,MH+1125.600634-Scan#10448
500.251312,Positive,39.916789,44.916789, ,2,MH+999.495348-Scan#10452
774.864807,Positive,39.924316,44.924316, ,2,MH+1548.722338-Scan#10457
519.312805,Positive,39.941254,44.941254, ,2,MH+1037.618334-Scan#10464
493.718353,Positive,39.942780,44.942780, ,2,MH+986.429430-Scan#10465
445.743988,Positive,39.951895,44.951895, ,2,MH+890.480699-Scan#10469
711.383240,Positive,39.967437,44.967437, ,2,MH+1421.759203-Scan#10477
461.737946,Positive,39.973512,44.973512, ,2,MH+922.468614-Scan#10481
476.780487,Positive,39.987499,44.987499, ,2,MH+952.553697-Scan#10488
539.298096,Positive,40.005162,45.005162, ,2,MH+1077.588915-Scan#10497
535.799805,Positive,40.006686,45.006686, ,2,MH+1070.592333-Scan#10498
520.255249,Positive,40.016099,45.016099, ,2,MH+1039.503221-Scan#10502
433.233673,Positive,40.047101,45.047101, ,2,MH+865.460070-Scan#10515
671.341797,Positive,40.070299,45.070299, ,2,MH+1341.676317-Scan#10526
485.289063,Positive,40.079203,45.079203, ,2,MH+969.570848-Scan#10532
449.241058,Positive,40.080459,45.080459, ,2,MH+897.474840-Scan#10533
537.287537,Positive,40.114571,45.114571, ,2,MH+1073.567797-Scan#10548
616.324646,Positive,40.125565,45.125565, ,2,MH+1231.642015-Scan#10553
594.321167,Positive,40.127102,45.127102, ,2,MH+1187.635057-Scan#10554
509.765656,Positive,40.128359,45.128359, ,2,MH+1018.524034-Scan#10555
618.825989,Positive,40.151805,45.151805, ,2,MH+1236.644701-Scan#10566
564.252197,Positive,40.159701,45.159701, ,3,MH+1690.742039-Scan#10569
507.288940,Positive,40.160959,45.160959, ,2,MH+1013.570604-Scan#10570
469.256622,Positive,40.168830,45.168830, ,2,MH+937.505968-Scan#10573
545.771423,Positive,40.197975,45.197975, ,2,MH+1090.535570-Scan#10585
552.292908,Positive,40.208904,45.208904, ,2,MH+1103.578539-Scan#10590
421.761139,Positive,40.218023,45.218023, ,2,MH+842.515001-Scan#10594
451.244293,Positive,40.222285,45.222285, ,2,MH+901.481310-Scan#10596
491.791473,Positive,40.242452,45.242452, ,2,MH+982.575670-Scan#10607
454.749146,Positive,40.248797,45.248797, ,2,MH+908.491014-Scan#10609
586.974731,Positive,40.256456,45.256456, ,3,MH+1758.909641-Scan#10614
414.735687,Positive,40.259506,45.259506, ,2,MH+828.464098-Scan#10616
758.362854,Positive,40.287650,45.287650, ,2,MH+1515.718431-Scan#10627
600.956970,Positive,40.290700,45.290700, ,3,MH+1800.856357-Scan#10629
622.340027,Positive,40.293766,45.293766, ,3,MH+1865.005527-Scan#10631
564.808777,Positive,40.299618,45.299618, ,2,MH+1128.610277-Scan#10635
568.793274,Positive,40.301150,45.301150, ,2,MH+1136.579271-Scan#10636
572.315918,Positive,40.312141,45.312141, ,2,MH+1143.624559-Scan#10641
467.228577,Positive,40.313400,45.313400, ,2,MH+933.449877-Scan#10642
874.738098,Positive,40.327025,45.327025, ,3,MH+2622.199741-Scan#10649
900.932068,Positive,40.328600,45.328600, ,2,MH+1800.856859-Scan#10650
444.211517,Positive,40.340954,45.340954, ,2,MH+887.415758-Scan#10656
540.318481,Positive,40.350124,45.350124, ,2,MH+1079.629686-Scan#10662
501.799652,Positive,40.351652,45.351652, ,2,MH+1002.592028-Scan#10663
671.797180,Positive,40.359518,45.359518, ,2,MH+1342.587084-Scan#10666
511.960846,Positive,40.367235,45.367235, ,3,MH+1533.867985-Scan#10671
991.001221,Positive,40.381895,45.381895, ,2,MH+1980.995165-Scan#10678
634.315857,Positive,40.383437,45.383437, ,2,MH+1267.624437-Scan#10679
472.765625,Positive,40.389539,45.389539, ,2,MH+944.523973-Scan#10683
464.785889,Positive,40.390797,45.390797, ,2,MH+928.564501-Scan#10684
586.270142,Positive,40.409570,45.409570, ,2,MH+1171.533007-Scan#10692
530.619629,Positive,40.428945,45.428945, ,3,MH+1589.844333-Scan#10703
494.252289,Positive,40.431576,45.431576, ,2,MH+987.497301-Scan#10705
811.912720,Positive,40.443758,45.443758, ,2,MH+1622.818163-Scan#10711
434.746643,Positive,40.449372,45.449372, ,2,MH+868.486010-Scan#10715
713.350098,Positive,40.463387,45.463387, ,2,MH+1425.692919-Scan#10722
783.364563,Positive,40.464928,45.464928, ,2,MH+1565.721849-Scan#10723
466.267883,Positive,40.480192,45.480192, ,2,MH+931.528490-Scan#10731
439.724365,Positive,40.481449,45.481449, ,2,MH+878.441454-Scan#10732
666.809570,Positive,40.484534,45.484534, ,2,MH+1332.611864-Scan#10734
567.292419,Positive,40.498756,45.498756, ,2,MH+1133.577562-Scan#10739
415.211365,Positive,40.502794,45.502794, ,2,MH+829.415453-Scan#10742
407.746094,Positive,40.504053,45.504053, ,2,MH+814.484911-Scan#10743
622.820374,Positive,40.522182,45.522182, ,2,MH+1244.633470-Scan#10752
577.816895,Positive,40.525234,45.525234, ,2,MH+1154.626512-Scan#10754
527.808044,Positive,40.533113,45.533113, ,2,MH+1054.608812-Scan#10757
486.268921,Positive,40.540763,45.540763, ,2,MH+971.530565-Scan#10762
482.891907,Positive,40.542288,45.542288, ,3,MH+1446.661167-Scan#10763
456.219940,Positive,40.543546,45.543546, ,2,MH+911.432604-Scan#10764
441.214294,Positive,40.551136,45.551136, ,2,MH+881.421312-Scan#10767
404.206848,Positive,40.553651,45.553651, ,2,MH+807.406420-Scan#10769
723.834290,Positive,40.555194,45.555194, ,2,MH+1446.661302-Scan#10770
565.798401,Positive,40.578347,45.578347, ,2,MH+1130.589525-Scan#10781
682.806885,Positive,40.582842,45.582842, ,2,MH+1364.606493-Scan#10784
444.254700,Positive,40.584100,45.584100, ,2,MH+887.502123-Scan#10785
493.254730,Positive,40.587171,45.587171, ,2,MH+985.502184-Scan#10787
637.310791,Positive,40.602780,45.602780, ,2,MH+1273.614305-Scan#10795
607.833252,Positive,40.604305,45.604305, ,2,MH+1214.659227-Scan#10796
583.798096,Positive,40.605834,45.605834, ,2,MH+1166.588915-Scan#10797
506.243469,Positive,40.629069,45.629069, ,3,MH+1516.715854-Scan#10810
460.924622,Positive,40.630327,45.630327, ,3,MH+1380.759311-Scan#10811
446.733826,Positive,40.639179,45.639179, ,2,MH+892.460375-Scan#10815
509.267670,Positive,40.649738,45.649738, ,2,MH+1017.528063-Scan#10822
462.740753,Positive,40.657585,45.657585, ,2,MH+924.474230-Scan#10825
450.225677,Positive,40.658840,45.658840, ,2,MH+899.444078-Scan#10826
551.762512,Positive,40.668083,45.668083, ,2,MH+1102.517748-Scan#10832
717.898010,Positive,40.683077,45.683077, ,2,MH+1434.788744-Scan#10840
523.291870,Positive,40.696515,45.696515, ,2,MH+1045.576464-Scan#10847
519.284119,Positive,40.721969,45.721969, ,2,MH+1037.560961-Scan#10862
501.276001,Positive,40.754231,45.754231, ,2,MH+1001.544725-Scan#10877
501.224457,Positive,40.782135,45.782135, ,2,MH+1001.441637-Scan#10893
664.831360,Positive,40.796170,45.796170, ,2,MH+1328.655443-Scan#10900
597.790527,Positive,40.810231,45.810231, ,2,MH+1194.573778-Scan#10907
576.287170,Positive,40.825841,45.825841, ,2,MH+1151.567064-Scan#10915
719.882385,Positive,40.840997,45.840997, ,2,MH+1438.757494-Scan#10923
562.319641,Positive,40.848685,45.848685, ,2,MH+1123.632006-Scan#10928
512.257202,Positive,40.851737,45.851737, ,2,MH+1023.507128-Scan#10930
451.772583,Positive,40.852995,45.852995, ,2,MH+902.537889-Scan#10931
414.753448,Positive,40.859331,45.859331, ,2,MH+828.499620-Scan#10933
647.308594,Positive,40.888414,45.888414, ,2,MH+1293.609911-Scan#10948
464.251678,Positive,40.889939,45.889939, ,2,MH+927.496080-Scan#10949
584.344543,Positive,40.894532,45.894532, ,2,MH+1167.681810-Scan#10952
735.851074,Positive,40.905182,45.905182, ,2,MH+1470.694872-Scan#10957
684.841248,Positive,40.906726,45.906726, ,2,MH+1368.675218-Scan#10958
533.778259,Positive,40.909801,45.909801, ,2,MH+1066.549242-Scan#10960
765.874512,Positive,40.925020,45.925020, ,2,MH+1530.741747-Scan#10968
494.280792,Positive,40.926449,45.926449, ,2,MH+987.554308-Scan#10969
779.399719,Positive,40.958488,45.958488, ,2,MH+1557.792162-Scan#10985
624.295898,Positive,40.960032,45.960032, ,2,MH+1247.584520-Scan#10986
758.860962,Positive,40.973772,45.973772, ,2,MH+1516.714647-Scan#10993
640.304810,Positive,40.983191,45.983191, ,2,MH+1279.602343-Scan#10997
498.288391,Positive,40.989040,45.989040, ,2,MH+995.569506-Scan#11001
403.219086,Positive,40.991557,45.991557, ,2,MH+805.430895-Scan#11003
627.861145,Positive,40.993101,45.993101, ,2,MH+1254.715013-Scan#11004
746.380371,Positive,41.004072,46.004072, ,2,MH+1491.753466-Scan#11009
534.257019,Positive,41.041082,46.041082, ,2,MH+1067.506761-Scan#11025
453.718903,Positive,41.042340,46.042340, ,2,MH+906.430529-Scan#11026
405.890717,Positive,41.045125,46.045125, ,3,MH+1215.657596-Scan#11028
847.918030,Positive,41.054536,46.054536, ,2,MH+1694.828783-Scan#11032
501.768860,Positive,41.066538,46.066538, ,2,MH+1002.530443-Scan#11040
458.727783,Positive,41.074419,46.074419, ,2,MH+916.448290-Scan#11043
446.235626,Positive,41.075677,46.075677, ,2,MH+891.463976-Scan#11044
430.251312,Positive,41.078463,46.078463, ,2,MH+859.495348-Scan#11046
426.261383,Positive,41.079721,46.079721, ,2,MH+851.515489-Scan#11047
588.284790,Positive,41.099594,46.099594, ,2,MH+1175.562303-Scan#11058
573.295593,Positive,41.102478,46.102478, ,2,MH+1145.583910-Scan#11060
617.325623,Positive,41.115936,46.115936, ,2,MH+1233.643968-Scan#11067
557.787964,Positive,41.160471,46.160471, ,2,MH+1114.568651-Scan#11090
508.302643,Positive,41.163540,46.163540, ,2,MH+1015.598009-Scan#11092
455.732849,Positive,41.166469,46.166469, ,2,MH+910.458422-Scan#11094
667.825928,Positive,41.170794,46.170794, ,2,MH+1334.644579-Scan#11097
844.922058,Positive,41.191198,46.191198, ,2,MH+1688.836840-Scan#11106
517.279785,Positive,41.209458,46.209458, ,2,MH+1033.552294-Scan#11113
459.259094,Positive,41.215593,46.215593, ,2,MH+917.510912-Scan#11117
546.816040,Positive,41.252539,46.252539, ,2,MH+1092.624803-Scan#11135
522.792297,Positive,41.254064,46.254064, ,2,MH+1044.577318-Scan#11136
495.752136,Positive,41.266285,46.266285, ,2,MH+990.496996-Scan#11142
529.302124,Positive,41.303147,46.303147, ,2,MH+1057.596971-Scan#11162
406.738342,Positive,41.304495,46.304495, ,2,MH+812.469408-Scan#11163
533.807617,Positive,41.306020,46.306020, ,2,MH+1066.607958-Scan#11164
846.373718,Positive,41.307581,46.307581, ,2,MH+1691.740160-Scan#11165
742.875488,Positive,41.318547,46.318547, ,2,MH+1484.743700-Scan#11170
457.274689,Positive,41.324680,46.324680, ,2,MH+913.542101-Scan#11174
424.240540,Positive,41.325937,46.325937, ,2,MH+847.473802-Scan#11175
509.276093,Positive,41.332264,46.332264, ,2,MH+1017.544908-Scan#11177
466.762360,Positive,41.333629,46.333629, ,2,MH+932.517443-Scan#11178
634.855774,Positive,41.344280,46.344280, ,2,MH+1268.704271-Scan#11183
559.252930,Positive,41.345839,46.345839, ,3,MH+1675.744236-Scan#11184
511.273346,Positive,41.347097,46.347097, ,2,MH+1021.539415-Scan#11185
612.322083,Positive,41.348639,46.348639, ,2,MH+1223.636888-Scan#11186
838.375671,Positive,41.372122,46.372122, ,2,MH+1675.744066-Scan#11197
538.289673,Positive,41.375197,46.375197, ,2,MH+1075.572069-Scan#11199
498.302429,Positive,41.376456,46.376456, ,2,MH+995.597582-Scan#11200
447.777557,Positive,41.379238,46.379238, ,2,MH+894.547838-Scan#11202
568.847290,Positive,41.402526,46.402526, ,2,MH+1136.687303-Scan#11212
550.788086,Positive,41.404051,46.404051, ,2,MH+1100.568895-Scan#11213
412.234894,Positive,41.440858,46.440858, ,2,MH+823.462511-Scan#11231
642.835266,Positive,41.445484,46.445484, ,2,MH+1284.663256-Scan#11234
520.811951,Positive,41.451607,46.451607, ,2,MH+1040.616625-Scan#11238
472.293579,Positive,41.471496,46.471496, ,2,MH+943.579882-Scan#11247
624.346558,Positive,41.473040,46.473040, ,2,MH+1247.685839-Scan#11248
449.259064,Positive,41.475555,46.475555, ,2,MH+897.510851-Scan#11250
445.244415,Positive,41.477017,46.477017, ,2,MH+889.481554-Scan#11251
955.908142,Positive,41.497146,46.497146, ,2,MH+1910.809008-Scan#11260
534.298645,Positive,41.535311,46.535311, ,2,MH+1067.590013-Scan#11281
491.251770,Positive,41.548967,46.548967, ,2,MH+981.496263-Scan#11288
516.791809,Positive,41.561336,46.561336, ,2,MH+1032.576342-Scan#11294
548.977539,Positive,41.562863,46.562863, ,3,MH+1644.918064-Scan#11295
501.276031,Positive,41.565915,46.565915, ,2,MH+1001.544786-Scan#11297
433.724731,Positive,41.569954,46.569954, ,2,MH+866.442186-Scan#11300
533.766052,Positive,41.588438,46.588438, ,2,MH+1066.524828-Scan#11308
479.756561,Positive,41.591504,46.591504, ,2,MH+958.505846-Scan#11310
909.425293,Positive,41.608096,46.608096, ,2,MH+1817.843309-Scan#11319
505.291687,Positive,41.611187,46.611187, ,2,MH+1009.576097-Scan#11321
496.742676,Positive,41.617505,46.617505, ,2,MH+992.478075-Scan#11323
469.754944,Positive,41.662860,46.662860, ,2,MH+938.502611-Scan#11344
858.912415,Positive,41.675339,46.675339, ,2,MH+1716.817552-Scan#11350
607.807251,Positive,41.693712,46.693712, ,2,MH+1214.607225-Scan#11360
485.281189,Positive,41.698041,46.698041, ,2,MH+969.555101-Scan#11363
473.952637,Positive,41.699300,46.699300, ,3,MH+1419.843357-Scan#11364
728.349426,Positive,41.714864,46.714864, ,2,MH+1455.691576-Scan#11372
526.782227,Positive,41.716392,46.716392, ,2,MH+1052.557176-Scan#11373
493.783112,Positive,41.717647,46.717647, ,2,MH+986.558947-Scan#11374
565.299744,Positive,41.728292,46.728292, ,2,MH+1129.592211-Scan#11379
511.291931,Positive,41.740535,46.740535, ,2,MH+1021.576586-Scan#11385
643.852051,Positive,41.745178,46.745178, ,2,MH+1286.696825-Scan#11388
631.825745,Positive,41.763885,46.763885, ,2,MH+1262.644213-Scan#11398
596.308289,Positive,41.770016,46.770016, ,2,MH+1191.609301-Scan#11402
429.759827,Positive,41.788243,46.788243, ,2,MH+858.512377-Scan#11412
464.769714,Positive,41.818985,46.818985, ,2,MH+928.532152-Scan#11426
576.290955,Positive,41.826239,46.826239, ,2,MH+1151.574633-Scan#11430
625.310913,Positive,41.827789,46.827789, ,2,MH+1249.614550-Scan#11431
529.788086,Positive,41.834137,46.834137, ,2,MH+1058.568895-Scan#11433
625.310608,Positive,41.840355,46.840355, ,2,MH+1249.613939-Scan#11437
583.294312,Positive,41.841889,46.841889, ,2,MH+1165.581346-Scan#11438
543.305359,Positive,41.843414,46.843414, ,2,MH+1085.603441-Scan#11439
642.351074,Positive,41.846485,46.846485, ,2,MH+1283.694872-Scan#11441
718.320313,Positive,41.857451,46.857451, ,2,MH+1435.633348-Scan#11446
682.872131,Positive,41.860559,46.860559, ,2,MH+1364.736986-Scan#11448
687.850891,Positive,41.882070,46.882070, ,2,MH+1374.694506-Scan#11460
491.275604,Positive,41.884586,46.884586, ,2,MH+981.543932-Scan#11462
443.756500,Positive,41.885843,46.885843, ,2,MH+886.505724-Scan#11463
416.566010,Positive,41.913566,46.913566, ,3,MH+1247.683475-Scan#11477
848.442322,Positive,41.921368,46.921368, ,2,MH+1695.877367-Scan#11480
507.622864,Positive,41.924167,46.924167, ,3,MH+1520.854038-Scan#11482
468.276611,Positive,41.929663,46.929663, ,3,MH+1402.815281-Scan#11486
532.261108,Positive,41.940301,46.940301, ,2,MH+1063.514940-Scan#11491
490.592468,Positive,41.951299,46.951299, ,3,MH+1469.762852-Scan#11496
457.760406,Positive,41.952823,46.952823, ,2,MH+914.513536-Scan#11497
701.912781,Positive,41.954365,46.954365, ,2,MH+1402.818285-Scan#11498
605.861572,Positive,41.955890,46.955890, ,2,MH+1210.715868-Scan#11499
422.733673,Positive,41.960201,46.960201, ,2,MH+844.460070-Scan#11502
575.801697,Positive,41.961726,46.961726, ,2,MH+1150.596117-Scan#11503
735.383362,Positive,41.975884,46.975884, ,2,MH+1469.759447-Scan#11508
667.356934,Positive,41.978969,46.978969, ,2,MH+1333.706591-Scan#11510
559.810486,Positive,41.985159,46.985159, ,2,MH+1118.613695-Scan#11514
526.260132,Positive,41.988211,46.988211, ,2,MH+1051.512987-Scan#11516
801.408386,Positive,42.021536,47.021536, ,2,MH+1601.809496-Scan#11534
651.387695,Positive,42.026165,47.026165, ,2,MH+1301.768114-Scan#11537
521.951843,Positive,42.038356,47.038356, ,3,MH+1563.840977-Scan#11543
782.424988,Positive,42.043033,47.043033, ,2,MH+1563.842699-Scan#11546
511.265930,Positive,42.054951,47.054951, ,2,MH+1021.524584-Scan#11552
498.762909,Positive,42.056209,47.056209, ,2,MH+996.518541-Scan#11553
584.339539,Positive,42.068263,47.068263, ,2,MH+1167.671801-Scan#11561
747.358215,Positive,42.078939,47.078939, ,2,MH+1493.709154-Scan#11566
636.318115,Positive,42.080502,47.080502, ,2,MH+1271.628954-Scan#11567
623.830505,Positive,42.082044,47.082044, ,2,MH+1246.653734-Scan#11568
612.821716,Positive,42.083585,47.083585, ,2,MH+1224.636156-Scan#11569
609.813599,Positive,42.085117,47.085117, ,2,MH+1218.619921-Scan#11570
505.254944,Positive,42.088166,47.088166, ,2,MH+1009.502611-Scan#11572
441.726227,Positive,42.094519,47.094519, ,2,MH+882.445177-Scan#11574
400.574829,Positive,42.098725,47.098725, ,3,MH+1199.709934-Scan#11576
476.306641,Positive,42.118625,47.118625, ,2,MH+951.606005-Scan#11587
494.778076,Positive,42.122779,47.122779, ,2,MH+988.548876-Scan#11590
422.243286,Positive,42.124037,47.124037, ,2,MH+843.479296-Scan#11591
569.283997,Positive,42.142691,47.142691, ,2,MH+1137.560717-Scan#11601
540.739502,Positive,42.144233,47.144233, ,2,MH+1080.471727-Scan#11602
472.280243,Positive,42.145596,47.145596, ,2,MH+943.553209-Scan#11603
603.322021,Positive,42.159491,47.159491, ,2,MH+1205.636766-Scan#11610
403.732788,Positive,42.208898,47.208898, ,2,MH+806.458300-Scan#11633
565.312988,Positive,42.211949,47.211949, ,2,MH+1129.618700-Scan#11635
431.259094,Positive,42.233381,47.233381, ,2,MH+861.510912-Scan#11647
401.740570,Positive,42.255307,47.255307, ,2,MH+802.473864-Scan#11657
489.260040,Positive,42.256772,47.256772, ,2,MH+977.512804-Scan#11658
484.267700,Positive,42.305818,47.305818, ,2,MH+967.528124-Scan#11677
439.913971,Positive,42.307326,47.307326, ,3,MH+1317.727360-Scan#11678
417.742859,Positive,42.316716,47.316716, ,2,MH+834.478441-Scan#11682
609.303894,Positive,42.319803,47.319803, ,2,MH+1217.600511-Scan#11684
406.538239,Positive,42.322772,47.322772, ,3,MH+1217.600162-Scan#11686
611.805969,Positive,42.336599,47.336599, ,2,MH+1222.604662-Scan#11693
462.766479,Positive,42.339649,47.339649, ,2,MH+924.525682-Scan#11695
540.786255,Positive,42.355234,47.355234, ,2,MH+1080.565233-Scan#11703
580.797791,Positive,42.367813,47.367813, ,2,MH+1160.588304-Scan#11709
472.749207,Positive,42.381743,47.381743, ,2,MH+944.491136-Scan#11713
560.763489,Positive,42.398780,47.398780, ,2,MH+1120.519701-Scan#11719
528.775208,Positive,42.440109,47.440109, ,2,MH+1056.543138-Scan#11735
470.752106,Positive,42.467607,47.467607, ,2,MH+940.496935-Scan#11748
406.258820,Positive,42.470373,47.470373, ,2,MH+811.510363-Scan#11750
401.218231,Positive,42.473171,47.473171, ,2,MH+801.429186-Scan#11751
563.273193,Positive,42.516815,47.516815, ,2,MH+1125.539110-Scan#11772
442.766998,Positive,42.525977,47.525977, ,2,MH+884.526720-Scan#11776
663.361755,Positive,42.529062,47.529062, ,2,MH+1325.716234-Scan#11778
674.837402,Positive,42.540046,47.540046, ,2,MH+1348.667528-Scan#11783
531.823242,Positive,42.546164,47.546164, ,2,MH+1062.639208-Scan#11787
591.340637,Positive,42.561733,47.561733, ,2,MH+1181.673998-Scan#11795
507.763489,Positive,42.563267,47.563267, ,2,MH+1014.519701-Scan#11796
466.749481,Positive,42.564808,47.564808, ,2,MH+932.491686-Scan#11797
546.797913,Positive,42.575492,47.575492, ,2,MH+1092.588549-Scan#11802
415.249756,Positive,42.588854,47.588854, ,3,MH+1243.734714-Scan#11811
815.930542,Positive,42.620018,47.620018, ,2,MH+1630.853807-Scan#11827
425.770294,Positive,42.622662,47.622662, ,2,MH+850.533312-Scan#11829
587.854797,Positive,42.645802,47.645802, ,2,MH+1174.702318-Scan#11840
684.364563,Positive,42.647345,47.647345, ,2,MH+1367.721849-Scan#11841
489.812042,Positive,42.653464,47.653464, ,2,MH+978.616808-Scan#11845
459.271790,Positive,42.654720,47.654720, ,2,MH+917.536302-Scan#11846
403.222321,Positive,42.663548,47.663548, ,2,MH+805.437364-Scan#11850
656.335022,Positive,42.666631,47.666631, ,2,MH+1311.662767-Scan#11852
549.763733,Positive,42.674318,47.674318, ,2,MH+1098.520189-Scan#11857
437.892578,Positive,42.683681,47.683681, ,3,MH+1311.663181-Scan#11861
