6404	0 3 1 	10.000	-60.000	3.978	0.000	
6405	0 3 2 	10.000	-60.000	16.233	0.000	
6406	0 3 3 	10.000	-60.000	26.508	0.000	
6407	0 3 4 	10.000	-60.000	34.742	0.000	
6408	0 3 5 	10.000	-60.000	31.087	0.000	
6409	0 3 6 	10.000	-60.000	35.086	0.000	
6410	0 3 7 	10.000	-60.000	29.591	0.000	
6411	0 3 8 	10.000	-60.000	33.335	0.000	
6412	0 3 9 	10.000	-60.000	25.759	0.000	
6413	0 3 10 	10.000	-60.000	21.555	0.000	
6414	0 3 11 	10.000	-60.000	14.959	0.000	
6415	0 3 12 	10.000	-60.000	13.583	0.000	
6416	0 3 13 	10.000	-59.103	4.830	0.000	
6417	0 3 14 	10.000	-60.000	5.967	0.000	
6418	0 3 15 	10.000	-70.877	1.649	0.000	
6419	0 3 16 	10.000	-70.877	1.649	0.000	
6420	0 3 17 	10.000	-74.943	0.492	0.000	
6421	0 3 18 	10.000	-75.180	0.000	0.000	
6422	0 3 19 	10.000	-60.000	5.969	0.000	
6423	0 3 20 	10.000	-60.000	6.366	0.000	
6424	0 3 21 	10.000	-60.000	14.559	0.000	
6425	0 3 22 	10.000	-60.000	12.714	0.000	
6426	0 3 23 	10.000	-60.000	11.576	0.000	
6427	0 3 24 	10.000	-60.000	12.093	0.000	
6428	0 3 25 	10.000	-60.000	12.462	0.000	
6429	0 3 26 	10.000	-60.000	17.717	0.000	
6430	0 3 27 	10.000	-60.000	13.459	0.000	
6431	0 3 28 	10.000	-60.000	16.001	0.000	
6432	0 3 29 	10.000	-60.000	14.134	0.000	
6433	0 3 30 	10.000	-60.000	8.002	0.000	
6434	0 3 31 	10.000	-62.457	1.991	0.000	
6435	0 3 32 	10.000	-60.000	7.760	0.000	
6436	0 3 33 	10.000	-60.000	16.635	0.000	
6437	0 3 34 	10.000	-60.000	17.331	0.000	
6438	0 3 35 	10.000	-60.000	24.173	0.000	
6439	0 3 36 	10.000	-60.000	27.668	0.000	
6440	0 3 37 	10.000	-60.000	17.947	0.000	
6441	0 3 38 	10.000	-60.000	17.396	0.000	
6442	0 3 39 	10.000	-60.000	11.895	0.000	
6443	0 3 40 	10.000	-60.000	4.136	0.000	
6444	0 3 41 	10.000	-60.000	23.163	0.000	
6445	0 3 42 	10.000	-60.000	21.162	0.000	
6446	0 3 43 	10.000	-60.000	32.973	0.000	
6447	0 3 44 	10.000	-60.000	37.376	0.000	
6448	0 3 45 	10.000	-60.000	35.586	0.000	
6449	0 3 46 	10.000	-60.000	31.976	0.000	
6450	0 3 47 	10.000	-60.000	44.402	0.000	
6451	0 3 48 	10.000	-60.000	38.820	0.000	
6452	0 3 49 	10.000	-60.000	41.040	0.000	
6453	0 3 50 	10.000	-60.000	27.326	0.000	
6454	0 3 51 	10.000	-60.000	18.874	0.000	
6455	0 3 52 	10.000	-60.000	11.593	0.000	
6456	0 3 53 	10.000	-60.000	12.656	0.000	
6457	0 3 54 	10.000	-54.496	8.344	0.000	
6458	0 3 55 	10.000	-56.819	2.145	0.000	
6459	0 3 56 	10.000	-74.303	0.890	0.000	
